Model,Accuracy,F1-Score,ROC-AUC
Ensemble,0.4827586206896552,0.6428571428571429,0.3440860215053763
RandomForest,0.46551724137931033,0.6352941176470588,0.4498207885304659
SVM,0.46551724137931033,0.6352941176470588,0.5459976105137395
LogisticRegression,0.4482758620689655,0.6190476190476191,0.4540023894862604
GradientBoosting,0.43103448275862066,0.6024096385542169,0.3835125448028674
XGBoost,0.39655172413793105,0.5569620253164557,0.44086021505376344
LightGBM,0.3793103448275862,0.5384615384615384,0.3333333333333333
