Model,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Total Trades,Profit Factor,Volatility (%)
Ensemble,-3.4084493988479223,-2.9743143548969786,-0.5916073082304855,-13.73205537180481,50.0,2,0.693627162462271,12.300006495706397
LightGBM,-13.434640894774915,-12.133004564150951,-1.550744634679275,-15.304654937888648,16.666666666666664,6,0.16951421786412155,11.160208250024462
XGBoost,-16.20795056202577,-14.661039319795165,-2.0953340112246144,-18.065947444989515,50.0,6,0.26415789828677605,9.716925472371123
