,0
lag_1,0.03817365779232458
lag_3,0.03377202723265998
lag_4,0.03151899935399555
lag_5,0.030675263464486822
lag_2,0.029182263014970292
volatility,0.027860255375918484
USDINR_change,0.027329914545831113
VIX_change,0.026981163438564038
volume_ratio,0.026970103994538606
bb_width,0.026644884309391423
momentum_5,0.024594153966801792
hl_range,0.02424638477282526
momentum_20,0.023679242958285968
volume_change,0.02361116442785273
returns,0.023276594760936326
volume_ma_20,0.02292013647376368
bb_position,0.022792462813712118
macd,0.02232075408998408
macd_signal,0.02213064649173607
hl_ma_ratio,0.021840538558736636
ma_5_diff,0.02173484781606137
rsi,0.021442816311386465
VIX_ma_20,0.021325954495067755
VIX_value,0.021193705642144227
ma_100_diff,0.02106641126644431
ema_50_diff,0.020646016383099944
ema_10_diff,0.020314758106143898
USDINR_ma_20,0.020056201544024127
macd_hist,0.019973581665632026
ma_5,0.01980563032276648
ma_10_diff,0.019703242081305795
macd_diff,0.019355393057380262
momentum_10,0.018799924098632185
ma_50_diff,0.018530300785509365
USDINR_value,0.018112283468377722
ma_200_diff,0.017376964931229064
ma_20,0.0160422909698543
ema_50,0.0158469725822902
bb_upper,0.015783744429033863
ma_50,0.015545318811017417
bb_lower,0.01501693692458485
ma_20_diff,0.014729112925131009
ma_10,0.014664473201489357
ema_10,0.014492979836288025
ma_100,0.014002433749778356
ma_200,0.0130361402523419
ema_crossover,0.0008809525056702212
Stock Splits,0.0
Dividends,0.0
