Method,Event_Coverage,NonEvent_Coverage,Degradation
Baseline CP,0.8333333333333334,0.8461538461538461,0.012820512820512775
CQR (MAPIE),1.0,1.0,0.0
Normalised CP,1.0,0.7115384615384616,-0.28846153846153844
ACI (adaptive),0.8333333333333334,0.8461538461538461,0.012820512820512775
